onetsoccode,Title,taskid,task,tasktype,incumbentsresponding,date,domainsource,scaleid,category,datavalue,n,standarderror,lowercibound,uppercibound,recommendsuppress
11-1021.00,General and Operations Managers,948,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",Supplemental,82,08/2023,Incumbent,IM,n/a,2.79,36,0.1959,2.3965,3.1919,N
11-1021.00,General and Operations Managers,949,Plan store layouts or design displays.,Supplemental,82,08/2023,Incumbent,IM,n/a,2.9200001,35,0.1902,2.5382,3.3112,N
11-1021.00,General and Operations Managers,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,82,08/2023,Incumbent,IM,n/a,4.1799998,76,0.1624,3.8551,4.5023,N
11-2011.00,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,Supplemental,74,08/2018,Incumbent,IM,n/a,3.4300001,47,0.1588,3.1098,3.7492,N
11-2011.00,Advertising and Promotions Managers,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Core,71,08/2018,Incumbent,IM,n/a,3.8399999,53,0.1367,3.5663,4.1148,N
11-2011.00,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,73,08/2018,Incumbent,IM,n/a,3.55,56,0.1297,3.2881,3.8079,N
11-2011.00,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,Supplemental,72,08/2018,Incumbent,IM,n/a,3.8099999,44,0.1563,3.4966,4.1270,N
11-2011.00,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,Core,71,08/2018,Incumbent,IM,n/a,3.8099999,53,0.1282,3.5557,4.0701,N
11-2011.00,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,Supplemental,71,08/2018,Incumbent,IM,n/a,3.3499999,29,0.1747,2.9921,3.7077,N
11-2011.00,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,72,08/2018,Incumbent,IM,n/a,3.9000001,69,0.1128,3.6700,4.1203,N
11-2011.00,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,73,08/2018,Incumbent,IM,n/a,4.1300001,66,0.1181,3.8900,4.3616,N
11-2011.00,Advertising and Promotions Managers,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",Core,72,08/2018,Incumbent,IM,n/a,3.54,51,0.1265,3.2835,3.7917,N
11-2011.00,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,Core,74,08/2018,Incumbent,IM,n/a,3.6099999,57,0.1404,3.3279,3.8902,N
11-2011.00,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",Core,72,08/2018,Incumbent,IM,n/a,4.0700002,60,0.1350,3.8005,4.3407,N
11-2011.00,Advertising and Promotions Managers,18586,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",Supplemental,72,08/2018,Incumbent,IM,n/a,3.8900001,27,0.1991,3.4764,4.2950,N
11-2011.00,Advertising and Promotions Managers,3241,Train and direct workers engaged in developing and producing advertisements.,Supplemental,72,08/2018,Incumbent,IM,n/a,3.6199999,45,0.1596,3.3006,3.9439,N
11-2011.00,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Supplemental,72,08/2018,Incumbent,IM,n/a,3.5,45,0.1233,3.2502,3.7473,N
11-2011.00,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,Core,71,08/2018,Incumbent,IM,n/a,3.8699999,54,0.1347,3.5962,4.1366,N
11-2011.00,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,71,08/2018,Incumbent,IM,n/a,3.5899999,54,0.1070,3.3745,3.8035,N
11-2011.00,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,72,08/2018,Incumbent,IM,n/a,3.25,57,0.1317,2.9850,3.5126,N
11-2011.00,Advertising and Promotions Managers,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",Supplemental,72,08/2018,Incumbent,IM,n/a,3.6099999,45,0.1360,3.3381,3.8861,N
11-2011.00,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,71,08/2018,Incumbent,IM,n/a,3.6700001,55,0.1218,3.4240,3.9124,N
11-2011.00,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,72,08/2018,Incumbent,IM,n/a,3.8099999,59,0.1211,3.5697,4.0545,N
11-2011.00,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Supplemental,69,08/2018,Incumbent,IM,n/a,3.6800001,38,0.1708,3.3323,4.0243,N
11-2021.00,Marketing Managers,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Supplemental,113,07/2015,Incumbent,IM,n/a,3.0599999,67,0.2223,2.6178,3.5056,N
11-2021.00,Marketing Managers,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,Supplemental,116,07/2015,Incumbent,IM,n/a,3.4100001,72,0.3739,2.6669,4.1578,N
11-2021.00,Marketing Managers,19505,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",Supplemental,116,07/2015,Incumbent,IM,n/a,3.1199999,68,0.1828,2.7573,3.4869,N
11-2021.00,Marketing Managers,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Core,116,07/2015,Incumbent,IM,n/a,3.4100001,114,0.1448,3.1238,3.6975,N
11-2021.00,Marketing Managers,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",Core,117,07/2015,Incumbent,IM,n/a,3.6600001,81,0.1199,3.4199,3.8971,N
11-2021.00,Marketing Managers,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",Core,117,07/2015,Incumbent,IM,n/a,3.8699999,93,0.1527,3.5698,4.1764,N
11-2021.00,Marketing Managers,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",Core,116,07/2015,Incumbent,IM,n/a,3.5599999,104,0.1142,3.3317,3.7846,N
11-2021.00,Marketing Managers,19504,"Integrate environmental information into product or company marketing strategies, policies, or activities.",Supplemental,116,07/2015,Incumbent,IM,n/a,2.5899999,65,0.2483,2.0925,3.0847,N
11-2021.00,Marketing Managers,959,Select products or accessories to be displayed at trade or special production shows.,Supplemental,115,07/2015,Incumbent,IM,n/a,2.7,89,0.1531,2.4004,3.0089,N
11-2021.00,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,117,07/2015,Incumbent,IM,n/a,4.3000002,113,0.1163,4.0663,4.5270,N
11-2021.00,Marketing Managers,965,Conduct economic or commercial surveys to identify potential markets for products or services.,Supplemental,116,07/2015,Incumbent,IM,n/a,3.1700001,72,0.1177,2.9341,3.4034,N
11-2021.00,Marketing Managers,956,"Consult with product development personnel on product specifications, such as design, color, or packaging.",Core,113,07/2015,Incumbent,IM,n/a,3.6500001,89,0.1581,3.3358,3.9640,N
11-2021.00,Marketing Managers,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,Supplemental,116,07/2015,Incumbent,IM,n/a,3.4100001,72,0.3739,2.6669,4.1578,N
11-2021.00,Marketing Managers,957,Compile lists describing product or service offerings.,Core,116,07/2015,Incumbent,IM,n/a,3.7,103,0.1629,3.3784,4.0247,N
11-2021.00,Marketing Managers,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",Core,115,07/2015,Incumbent,IM,n/a,3.1400001,73,0.1194,2.8986,3.3747,N
11-2021.00,Marketing Managers,19503,Develop business cases for environmental marketing strategies.,Supplemental,115,07/2015,Incumbent,IM,n/a,2.6800001,50,0.2747,2.1244,3.2283,N
11-2021.00,Marketing Managers,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",Core,115,07/2015,Incumbent,IM,n/a,3.53,79,0.1762,3.1750,3.8764,N
11-2021.00,Marketing Managers,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Core,116,07/2015,Incumbent,IM,n/a,3.99,95,0.1327,3.7297,4.2569,N
11-2021.00,Marketing Managers,963,"Initiate market research studies, or analyze their findings.",Core,116,07/2015,Incumbent,IM,n/a,3.4000001,96,0.0991,3.2063,3.5998,N
11-2021.00,Marketing Managers,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Core,117,07/2015,Incumbent,IM,n/a,4.2399998,114,0.0637,4.1123,4.3645,N
11-2022.00,Sales Managers,13,"Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.",Core,21,08/2025,Occupational Expert,IM,n/a,4.2399998,17,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,2,Monitor customer preferences to determine focus of sales efforts.,Core,21,08/2025,Occupational Expert,IM,n/a,4.29,21,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.",Core,21,08/2025,Occupational Expert,IM,n/a,4,21,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",Core,21,08/2025,Occupational Expert,IM,n/a,3,15,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,9,Prepare budgets and approve budget expenditures.,Core,21,08/2025,Occupational Expert,IM,n/a,3.7,20,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,Core,21,08/2025,Occupational Expert,IM,n/a,3.5,14,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,4,Determine price schedules and discount rates.,Core,21,08/2025,Occupational Expert,IM,n/a,3.95,20,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,14,Oversee regional and local sales managers and their staffs.,Core,21,08/2025,Occupational Expert,IM,n/a,4.6500001,20,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,6,"Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.",Core,21,08/2025,Occupational Expert,IM,n/a,3.0599999,17,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,10,Represent company at trade association meetings to promote products.,Core,21,08/2025,Occupational Expert,IM,n/a,3.3299999,21,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,5,Review operational records and reports to project sales and determine profitability.,Core,21,08/2025,Occupational Expert,IM,n/a,4.21,19,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,Core,21,08/2025,Occupational Expert,IM,n/a,3.25,16,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,16,Direct foreign sales and service outlets of an organization.,Supplemental,21,08/2025,Occupational Expert,IM,n/a,2.9200001,13,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,Core,21,08/2025,Occupational Expert,IM,n/a,3.53,19,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,1,Resolve customer complaints regarding sales and service.,Core,21,08/2025,Occupational Expert,IM,n/a,4.3499999,20,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,17,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",Supplemental,21,08/2025,Occupational Expert,IM,n/a,3.23,13,n/a,n/a,n/a,n/a
11-2022.00,Sales Managers,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",Core,21,08/2025,Occupational Expert,IM,n/a,4.1900001,21,n/a,n/a,n/a,n/a
11-2033.00,Fundraising Managers,21257,Formulate policies and procedures related to fundraising programs.,Core,55,08/2025,Incumbent,IM,n/a,3.47,48,0.2103,3.0498,3.8959,N
11-2033.00,Fundraising Managers,21261,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet Web pages.",Core,56,08/2025,Incumbent,IM,n/a,3.5,35,0.3161,2.8573,4.1420,N
11-2033.00,Fundraising Managers,21255,"Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.",Core,55,08/2025,Incumbent,IM,n/a,3.95,48,0.1193,3.7138,4.1938,N
11-2033.00,Fundraising Managers,21260,"Produce films and other video products, regulate their distribution, and operate film library.",Supplemental,55,08/2025,Incumbent,IM,n/a,2.98,23,0.5050,1.9328,4.0276,N
11-2033.00,Fundraising Managers,21253,"Direct activities of external agencies, establishments, or departments that develop and implement fundraising strategies and programs.",Supplemental,56,08/2025,Incumbent,IM,n/a,4.1799998,41,0.2222,3.7323,4.6305,N
11-2033.00,Fundraising Managers,21258,Manage fundraising budgets.,Core,55,08/2025,Incumbent,IM,n/a,4.3099999,48,0.2208,3.8624,4.7509,N
11-2033.00,Fundraising Managers,21247,Compile or develop materials to submit to granting or other funding organizations.,Core,56,08/2025,Incumbent,IM,n/a,3.9300001,48,0.2941,3.3412,4.5246,N
11-2033.00,Fundraising Managers,21259,"Plan and direct special events for fundraising, such as silent auctions, dances, golf events, or walks.",Core,56,08/2025,Incumbent,IM,n/a,4.0700002,48,0.1726,3.7214,4.4160,N
11-2033.00,Fundraising Managers,21246,"Assign, supervise, and review the activities of fundraising staff.",Core,55,08/2025,Incumbent,IM,n/a,3.3900001,45,0.3173,2.7488,4.0277,N
11-2033.00,Fundraising Managers,21248,"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",Core,55,08/2025,Incumbent,IM,n/a,3.5599999,43,0.2633,3.0324,4.0953,N
11-2033.00,Fundraising Managers,21254,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new fundraising opportunities.",Core,55,08/2025,Incumbent,IM,n/a,3.95,50,0.2096,3.5245,4.3667,N
11-2033.00,Fundraising Managers,21251,Develop fundraising activity plans that maximize participation or contributions and minimize costs.,Core,55,08/2025,Incumbent,IM,n/a,4.1100001,50,0.2025,3.6986,4.5125,N
11-2033.00,Fundraising Managers,21252,Develop strategies to encourage new or increased contributions.,Core,56,08/2025,Incumbent,IM,n/a,4.3299999,54,0.3480,3.6299,5.0000,N
11-2033.00,Fundraising Managers,21256,Evaluate advertising and promotion programs for compatibility with fundraising efforts.,Core,55,08/2025,Incumbent,IM,n/a,3.3699999,47,0.3504,2.6631,4.0737,N
11-2033.00,Fundraising Managers,21250,"Design and edit promotional publications, such as brochures.",Core,55,08/2025,Incumbent,IM,n/a,3.01,45,0.3201,2.3613,3.6515,N
